OTU	100_trimmed_R2	101_trimmed_R2	102_trimmed_R2	103_trimmed_R2	104_trimmed_R2	105_trimmed_R2	106_trimmed_R2	107_trimmed_R2	108_trimmed_R2	109_trimmed_R2	10_trimmed_R2	110_trimmed_R2	111_trimmed_R2	112_trimmed_R2	113_trimmed_R2	114_trimmed_R2	115_trimmed_R2	116_trimmed_R2	11_trimmed_R2	12_trimmed_R2	13_trimmed_R2	14_trimmed_R2	15_trimmed_R2	16_trimmed_R2	17_trimmed_R2	18_trimmed_R2	19_trimmed_R2	1_trimmed_R2	20_trimmed_R2	21_trimmed_R2	22_trimmed_R2	23_trimmed_R2	24_trimmed_R2	25_trimmed_R2	26_trimmed_R2	27_trimmed_R2	28_trimmed_R2	29_trimmed_R2	2_trimmed_R2	30_trimmed_R2	31_trimmed_R2	32_trimmed_R2	33_trimmed_R2	34_trimmed_R2	35_trimmed_R2	36_trimmed_R2	37_trimmed_R2	38_trimmed_R2	39_trimmed_R2	3_trimmed_R2	40_trimmed_R2	41_trimmed_R2	42_trimmed_R2	43_trimmed_R2	44_trimmed_R2	45_trimmed_R2	46_trimmed_R2	47_trimmed_R2	48_trimmed_R2	49_trimmed_R2	4_trimmed_R2	50_trimmed_R2	51_trimmed_R2	52_trimmed_R2	53_trimmed_R2	54_trimmed_R2	55_trimmed_R2	56_trimmed_R2	57_trimmed_R2	58_trimmed_R2	59_trimmed_R2	5_trimmed_R2	60_trimmed_R2	61_trimmed_R2	62_trimmed_R2	63_trimmed_R2	64_trimmed_R2	65_trimmed_R2	66_trimmed_R2	67_trimmed_R2	68_trimmed_R2	69_trimmed_R2	6_trimmed_R2	70_trimmed_R2	71_trimmed_R2	72_trimmed_R2	73_trimmed_R2	74_trimmed_R2	75_trimmed_R2	76_trimmed_R2	77_trimmed_R2	78_trimmed_R2	79_trimmed_R2	7_trimmed_R2	80_trimmed_R2	81_trimmed_R2	82_trimmed_R2	83_trimmed_R2	84_trimmed_R2	85_trimmed_R2	86_trimmed_R2	87_trimmed_R2	88_trimmed_R2	89_trimmed_R2	8_trimmed_R2	90_trimmed_R2	91_trimmed_R2	92_trimmed_R2	93_trimmed_R2	94_trimmed_R2	95_trimmed_R2	96_trimmed_R2	97_trimmed_R2	98_trimmed_R2	99_trimmed_R2	9_trimmed_R2
DENOVO11	235	1327	1536	1151	14	969	2104	189	282	366	0	759	946	41	858	635	1224	1931	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	5	0	0	0	0	0	0	2	0	0	0	6	0	0	0	0	2	0	29	0	0	0	0	0	90	1	84	87	245	3	0	0	0	38	16	8	1	148	2	0	1	0	9	116	25	29	4	11	0	0	33	77	219	166	412	76	0	0	0	2	69	2	25	13	0	0	0	0	357	0	209	2	92	0	2	0	5	1964	2590	642	0
DENOVO12	2762	551	268	200	1720	961	1293	31	67	575	0	79	186	118	91	134	54	89	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	221	26	5	71	661	224	11	0	7	42	155	197	18	110	317	137	3	23	0	13	28	16	744	276	166	446	1640	303	10	0
DENOVO13	9	0	11	27	2	13	26	18	1	0	122	0	9	5	14	0	0	0	206	17	19	1	22	16	34	15	15	109	30	0	85	33	54	108	53	3	4531	2007	35	1412	0	1	1	1829	1619	1793	1	1	0	8	657	761	142	0	0	0	399	420	317	2	28	0	0	292	249	203	0	0	4	82	67	33	91	1	0	0	37	11	52	0	1	0	26	35	18	25	0	0	0	1	0	0	0	4	0	3	0	1	0	0	0	3	6	0	9	0	0	0	0	0	0	2	3	3	0	0
DENOVO14	31	27	48	35	22	7	1	0	104	189	0	143	0	0	0	27	23	16	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2	14	148	0	0	0	0	3	30	0	3	4	33	15	29	1	10	0	0	67	0	9	0	0	0	760	0	768	573	4	0	2	46	72	65	0	0	0	0	67	109	135	0	0	3	8	7	15	2	2	0	10	19	15	26	41	4	0	25	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	284	730	520	991	735	1243	26	0
DENOVO15	1973	3647	2738	4308	1917	2667	3775	2629	2738	2498	2120	1590	2417	1005	3148	1436	2952	2893	2769	2493	4536	1840	2387	2381	3167	2568	3180	2597	3560	3000	3595	3616	3358	2451	1813	4021	2652	2057	1601	1523	2725	1880	2937	1702	3941	3029	3180	1301	1500	2512	1085	1428	286	4152	821	1479	862	1643	1388	488	1790	404	432	2346	512	749	651	1452	799	1281	1578	2021	1649	1793	2541	1273	1578	705	1989	1724	2445	2616	1554	1636	1911	3270	1281	2233	1009	1684	2191	1281	1577	2584	595	871	2735	2283	1788	2384	1881	2457	1108	1834	2139	1313	2192	1929	1724	1827	1772	3169	3372	5876	1289	2105
DENOVO16	909	339	274	284	408	334	1840	75	439	923	0	226	194	107	297	249	268	343	0	0	0	0	1	0	0	1	2	0	3	0	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	1	2	1	1	1	1	0	0	2	2	0	0	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0	0	341	29	21	87	910	937	57	0	23	131	137	179	33	42	237	91	12	25	0	21	58	100	689	300	427	224	460	917	123	0
DENOVO17	356	210	108	159	64	131	637	23	191	699	0	110	135	6	84	45	62	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	10	12	84	143	322	20	0	0	76	52	46	5	39	181	68	27	96	0	21	21	67	201	422	529	219	297	326	33	0
DENOVO18	385	119	71	99	191	112	876	39	111	156	0	17	173	52	27	39	30	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	8	12	58	259	109	5	0	6	21	108	87	27	54	194	114	5	0	0	4	65	2	88	109	71	52	204	61	6	0
DENOVO19	417	168	220	78	216	653	747	104	17	327	1	8	182	39	43	53	70	52	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	499	49	13	82	648	1324	29	0	5	44	266	274	25	103	669	322	20	42	0	8	102	64	365	116	225	85	215	232	19	0
DENOVO20	107	213	188	276	114	131	259	102	207	147	26	132	127	40	152	115	201	162	44	34	50	25	15	17	108	55	46	7	116	97	94	51	79	13	9	13	63	18	8	38	38	48	26	57	37	31	38	20	27	18	25	72	15	108	9	50	32	36	46	58	21	47	43	90	11	15	62	80	52	56	54	12	41	97	150	75	16	42	29	44	90	127	27	38	62	30	74	98	48	134	134	162	104	13	20	77	238	128	42	107	108	149	34	203	34	24	64	134	76	180	145	228	204	388	83	16
