OTU	100_trimmed_R1	101_trimmed_R1	102_trimmed_R1	103_trimmed_R1	104_trimmed_R1	105_trimmed_R1	106_trimmed_R1	107_trimmed_R1	108_trimmed_R1	109_trimmed_R1	10_trimmed_R1	110_trimmed_R1	111_trimmed_R1	112_trimmed_R1	113_trimmed_R1	114_trimmed_R1	115_trimmed_R1	116_trimmed_R1	11_trimmed_R1	12_trimmed_R1	13_trimmed_R1	14_trimmed_R1	15_trimmed_R1	16_trimmed_R1	17_trimmed_R1	18_trimmed_R1	19_trimmed_R1	1_trimmed_R1	20_trimmed_R1	21_trimmed_R1	22_trimmed_R1	23_trimmed_R1	24_trimmed_R1	25_trimmed_R1	26_trimmed_R1	27_trimmed_R1	28_trimmed_R1	29_trimmed_R1	2_trimmed_R1	30_trimmed_R1	31_trimmed_R1	32_trimmed_R1	33_trimmed_R1	34_trimmed_R1	35_trimmed_R1	36_trimmed_R1	37_trimmed_R1	38_trimmed_R1	39_trimmed_R1	3_trimmed_R1	40_trimmed_R1	41_trimmed_R1	42_trimmed_R1	43_trimmed_R1	44_trimmed_R1	45_trimmed_R1	46_trimmed_R1	47_trimmed_R1	48_trimmed_R1	49_trimmed_R1	4_trimmed_R1	50_trimmed_R1	51_trimmed_R1	52_trimmed_R1	53_trimmed_R1	54_trimmed_R1	55_trimmed_R1	56_trimmed_R1	57_trimmed_R1	58_trimmed_R1	59_trimmed_R1	5_trimmed_R1	60_trimmed_R1	61_trimmed_R1	62_trimmed_R1	63_trimmed_R1	64_trimmed_R1	65_trimmed_R1	66_trimmed_R1	67_trimmed_R1	68_trimmed_R1	69_trimmed_R1	6_trimmed_R1	70_trimmed_R1	71_trimmed_R1	72_trimmed_R1	73_trimmed_R1	74_trimmed_R1	75_trimmed_R1	76_trimmed_R1	77_trimmed_R1	78_trimmed_R1	79_trimmed_R1	7_trimmed_R1	80_trimmed_R1	81_trimmed_R1	82_trimmed_R1	83_trimmed_R1	84_trimmed_R1	85_trimmed_R1	86_trimmed_R1	87_trimmed_R1	88_trimmed_R1	89_trimmed_R1	8_trimmed_R1	90_trimmed_R1	91_trimmed_R1	92_trimmed_R1	93_trimmed_R1	94_trimmed_R1	95_trimmed_R1	96_trimmed_R1	97_trimmed_R1	98_trimmed_R1	99_trimmed_R1	9_trimmed_R1
DENOVO21	2	0	3	1	1	0	5	0	0	2	0	1	2	1	4	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	3	4	0	2	0	0	0	0	0	0	0	1	1	5	0	19	42	2	0	0	68	150	44	0	0	0	1	20	127	26	0	0	2	218	139	207	0	2	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	2	0	2	0	1	0	0	0	0	2	6	2	0
DENOVO22	91	20	41	6	23	139	43	6	0	137	0	2	5	0	12	0	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	6	9	7	119	54	9	0	8	32	83	38	4	25	34	164	10	0	0	9	23	1	23	9	30	0	18	17	2	0
DENOVO23	4	13	13	12	5	3	14	4	6	3	19	5	2	1	3	6	14	13	25	1	5	4	1	3	6	3	2	10	3	1	8	6	4	10	2	3	134	66	1	56	4	2	4	61	53	78	7	1	1	2	60	60	11	7	0	6	12	36	33	19	1	21	42	13	6	21	59	194	69	12	4	2	8	38	103	29	8	0	5	255	209	230	1	19	2	11	0	7	1	2	3	1	1	2	2	3	5	1	1	1	6	4	4	4	0	1	1	2	3	2	7	4	6	22	6	2
DENOVO24	95	72	84	45	4	49	182	25	10	63	1	9	147	9	38	26	33	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	0	0	1	2	0	0	0	0	1	0	3	0	0	0	1	1	3	1	1	0	0	0	17	3	0	0	35	18	0	0	0	3	17	27	0	0	16	5	2	1	0	3	3	3	17	9	27	17	13	19	8	0
DENOVO25	61	32	56	12	11	150	202	12	13	52	0	5	73	0	13	19	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	3	9	18	54	0	0	1	17	24	4	0	4	24	50	2	0	0	0	2	0	6	32	192	29	15	11	3	0
DENOVO26	3	0	7	0	0	1	8	0	1	1	0	4	2	0	0	0	2	4	0	0	0	4	0	0	1	0	3	1	0	0	0	0	0	15	6	334	0	1	0	0	12	2	0	0	1	0	2	2	0	5	2	2	2	2	0	0	0	3	0	41	1	64	22	25	0	6	7	16	11	0	0	1	0	3	1	5	0	0	1	5	3	3	2	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	0
DENOVO27	15	14	8	6	5	14	42	0	7	54	0	8	31	1	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	1	3	16	20	6	8	0	0	8	15	4	7	12	0	14	3	6	0	8	8	0	11	17	10	11	11	62	0	0
DENOVO28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	131	0	59	84	0	0	0	18	6	12	0	0	0	0	15	23	10	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
DENOVO29	1	4	2	3	3	0	0	0	10	7	0	8	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	41	23	47	71	61	4	0
DENOVO30	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	84	75	48	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	2	12	0	1	0	1	0	3	0	2	0	0	0	0	0	2	0	3	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2
